Target,Predicted Label,Remarks,Sentences
1,GENERAL,कमिसन खोरी,कमिसन खोरी हरु बाटो खोजी रहे कुरा लाटा पनि बुजे छ लाजमर्दो तर्क नगर चोर हरु
1,GENERAL,भिकारी,खान नपाए का भिकारी परेछ्न बा की केही नराख्ने भए
1,GENERAL,पछि दगुर्ने हुन्,गुठी ब्यबस्थापन सम्बन्धी कुरा जनता लाइ त कसरी थाहा होस मात्र काग कान लग्यो भन्दियो कसै पछि दगुर्ने हुन्
0,GENERAL,सहि छ,गुठी बिधयक सहि छ मात्र सबै बुझ्न नसके हो
1,GENERAL,मुला,बन्जाडे मुला अलिक ठुलो नेता हरुलाइ लेउनु न हौ
1,GENERAL,राक्षस,योगि नरहरिनाथ उहिल्यै घोषणा गरे का रहेछ्न कलियुग अन्त तिर राक्षस हरु ब्राह्मण कुल जन्म लिएर आउनेछ्न
1,GENERAL,राजा फाल्नेछ्न धर्म त्याग्नेछ्न,तिनी हरु राजा फाल्नेछ्न धर्म त्याग्नेछ्न अनि आफै शासनसत्ता हात लिनेछ्न
1,GENERAL,राक्षस,आज राक्षस बाहुन हरु प्रचन्डे बोकोहराम उखाने जस्ता राज योगि नरहरिनाथ भबिस्यबाणी ठ्याक् कै मिले छ
1,GENERAL,भू माफिया,यो सोम भन्ने मान्छे नै भू माफिया जस्तो लाग्यो गुठि खान आए मान्छे गुठि जग्गा पूर्ण सरकार हुनु पर्छ
0,GENERAL,सडक मा आउनुपर्छ,धर्म संस्कृत जोगाउन नेवार मात्र नभइ बाहुन छेत्री तामाङ सबै छेत्र का मान्छे सडक आउनुपर्छ
1,GENERAL,देश ईसाईकरण गर्छ,धर्म सस्कृति सबै सकेर देश ईसाईकरण गर्छ ने क पा अब सरकारि जग्गा त बचाउन नसकिएकाे अबश्था
1,GENERAL,कति ठुलाे बिटाे मिल्याे,छायाँ सेन्टर जस्ता जाेगाउने प्रपञ्च हाे याे कति ठुलाे बिटाे मिल्याे सचिव ज्यू
1,GENERAL,भु माफिया को हनुमान,यो गुठी बिदयक बिष्णु पौडेल हात छ यो पद् अर्याल भने भु माफिया हनुमान हो यो गद्दार आइमाई लाई कालोमोसो दलेर जुत्ता माला लायर देश निकाला गर्नुपर्छ
1,GENERAL,खान नहुने वा रे वा,जनता नाम नेता खान हुने किसानकाे नाम गुठी हामी खान नहुने रे
1,GENERAL,रजाइ गर्ने,यस बिरोध गर्ने हरु सबै नहोलान तर मुख्यपात्र हरु अहिले सम्म त्यही गुठी चल अचल सम्पती माथी रजाइ गर्ने हरुनै हुन अब रजाइ गर्न नपाइने भो भनेर सडक आयर रोय का हुन यो हामी सबै बुझ्नु पर्छ
1,GENERAL,नाटक हुन,परिबर्तन बिरोधी हरु परिबर्तन स्युकार्न गार्हो भा मात्र हो यी सब नाटक हुन
1,GENERAL,नस्तिक र होलि वाइन खाने,जस जे भने पनि आखिर नेपाल धर्म सस्कृती परम्परा मौलिक लाई मास्ने नै हो किन अहिले सरकार नस्तिक होलि वाइन खाने हरु छ
1,GENERAL,समाप्त पार्ने खेल हो,पक्कै पनि हिन्दुत्व समाप्त पार्ने खेल हो जस्तो भान आमनागरिक भए छ पछिल्लो गुठी काण्ड
1,GENERAL,गै त सक्यो,बाकिनै अब यहि त थियो गुठी अरुत सबै खतम भै सके नदिनाला कलकारखाना धर्म सस्कृती गै त सक्यो बा की आस लाग्दो नेपाली सेना छ गुठी
1,GENERAL,अनपढ,बाहुन च्याउ खाए पो स्वाद जस्तै गुठि नै नभए बाहुन लाइ गुठि कर्म मर्म के थाहा कुरा त अनपढ बाहुन लाइ निल्दिन्छ
1,GENERAL,बेच्न लागे,देउता पनि बेच्न लागे बाहुन क्षेत्री
1,GENERAL,भु माफिया को एजेन्ट,यो दुइ जना बाहुन हरु भु माफिया एजेन्ट हरु हुन
1,GENERAL,लखेटनु प्ररने,यो नेपाल का बाहुन सब लखेटनु प्ररने दिन अायो हिन्दु होस बाैद किराँत मासेर किश्नन बनाउने पनि यिनै हुनु देश सब स्रम्पदा मासने भए यी बाहुन खोल्ड अोडने
1,GENERAL,कम्मर मुनि को भुत्ला देखायो,भ्रष्टाचार बिरोधि अभियन्ता ज्ञानेन्द्र शाहि माथी राज्य बर्बर दमन गरेर लोकतन्त्र कम्मर मुनि भुत्ला देखायो
1,GENERAL,अपराधी हरु ले पालेको,नेपाल बिरोधि अपराधी हरु पालेको मिडिया कुनै चुइक्क बोलेनन्
1,GENERAL,अपराधी दलाल हरु ले पालेको,कान्तिपुर यस्तै अपराधी दलाल हरु पालेको एउटा मिडिया हो
0,GENERAL,विद्वान,उपस्थित विद्वान हरु कस कस गुठी छ
1,GENERAL,सँन्स्कार खतम गर्नु पर्छ,कुनाई जाती समुदाय लाई मास्नु या खतम गर्नुछ भने उस धर्म सँन्स्कार खतम गर्नु पर्छ भन्ने नीति हो यो गुठि बिध्यायक नीति
1,GENERAL,भु माफिया को गोटि,यो सब भु माफिया चाल हो भने नेपाल सरकार पनि तिनै भु माफिया गोटि बन्दैछ
1,GENERAL,फिर्ता हुनैपर्छ,विधेक फिर्ता हुनैपर्छ नत्र चर्को आन्दोलन हुने छ
1,GENERAL,दलाल,दलाल नेता सरकार आफै मोहि बनी हदपिने दाउ हो
1,GENERAL,लाटो देश मा बाठो तन्देरी,याहाँ त लाटो देश बाठो तन्देरी भनेजस्तो भो
1,GENERAL,छाउरा,बामे का छाउरा हरु देस सक्क्ने भय
1,GENERAL,लगार्ने नियात,यो सबै काठ्माडो न्यावार जाति लाइ हरुलाइ लगार्ने नियात हो
1,GENERAL,भ्रष्ट चोर दलाली,भ्रष्ट चोर दलाली हरु मठ मन्दिर गुठी ब्याक्तीगत नाम गरिए छ सरकार ठोस कदम चालोस
0,GENERAL,ठिक रहेछ,अहिले धर्म मात्र बेचे का छन चोर हरु सत्ता आयपछी हजार प्रत्येक नेपालि टाउको रिण बोकाय छ बरु पन्चायत ठिक रहेछ
1,GENERAL,चोर भ्रस्टचारी,यो विधेक चोर भ्रस्टचारी बाहुन छेत्री हरु नेवारी किरात आदिबासी संसृति मास्ने पेल्ने मनसाय छ
1,GENERAL,दलाल,देश बेच्न उग्र रुप लागे का दलाल देश डुबाय
1,GENERAL,not specific in his words,
0,GENERAL,सोझा,सोझा नेवार लाई नियमन गरि राजनीतिक पहुच भए का मान्छे अघि पछि गर्न लाई लैए गुठी बिदयक हो यो
1,GENERAL,हाेचिविन काे मुत खाने,हाम्रा मठ मन्दिर गुम्बा धर्म सस्कृति धाेस्त पारेर ईनि हाेलिविन अर्थात हाेचिविन काे मुत खाने हरु ख्रिस्चियन चर्च बनाउन खाेजेकाे हुन अब सबै नपालि जनता मिलेर देस निकाला गर्नु पर्छ
1,GENERAL,दलाल,यो पाखन्डी भन्डारी क्रिश्चियन दलाल ओलि मुत पिएर होलि वाइन सोझो गर्दैछ नेपाल परम्परा सस्कार सस्कृती मास्ने नियत हो
1,GENERAL,धर्म मास्ने,सनातन धर्म मास्ने योजना अनुसार आ यो विधेक हो
1,GENERAL,चोरै चोर,सबै तहतब् का चोरै चोर भए
1,GENERAL,"भू-माफिया , तस्कर",समस्या यो गुठि होइन समस्या हो सिद्धांन्त खोल ओडे का भूमाफिया तस्कर हरू गुठी जग्गा हडपने अनि बैद्यता दिने
1,GENERAL,भ्रष्ट,यो सबै समस्या समाधान लागि यो भ्रष्ट राज्य सत्ता सदा लागि अन्त्य गर्न एक हौ
1,GENERAL,टाउके र लाउके,मन्द विष घोलेर खुबाइदैछ हरेक विधेयक ल्याएर जनता सजक नहुने हो भने टाउके लाउके सबै चुस्ने स्रोत खोज्दैछन्
1,GENERAL,पशु,अधिकारी पशु हो की मान्छे बालुवाटार जग्गा त बेची खायौं अझ गुठी हरु छोड्छौ तिमी हरु दलाल थुक्क नलायक पशु
1,GENERAL,गूठी खाने खेल हो,सात पुस्ता भने कति होर सात पुस्ता भन्दा भदी भयो भनेर गूठी खाने खेल हो
1,GENERAL,अस्तित्व मेटाउन,नेपाल अस्तित्व मेटाउन लाई यो गुठी कानुन रामबाण हो यस्पछी नेपाल लाई तहस नहस पार्न अरु केही गर्न पर्दैन चेतना भय
1,GENERAL,मुनकाे वृयपान,अस्ती मुनकाे वृयपान पनि नेपालीकाे हीत भन्दै थिए अरिङ्गाल हरू अहिले गुठीपनि त्यही भन्दैछन कृश्यन का भतुवा हरू
1,GENERAL,हस्तक्षेप गरिरहे का,अब गूठी हस्तक्षेप गरिरहे का छन
1,GENERAL,कलङ्क,म पनि बाहुन हु तर यी बाहुन क्षेत्री नाम कलङ्क हरुलाइ चरम यातना दिएर मारिदिए हुन्छ
1,GENERAL,धृस्टता,ता भोलि दिन देश सन्कृती बेचबिखन देश द्रोह गरने धृस्टता कसै पनि नगरोस
1,GENERAL,घृणा छ,म भित्र यिनि हरु प्रती चरम घृणा छ
0,GENERAL,सम्पन्न भएकाे हाे,गुठि गर्दा अमेरिका बेलायत नबन्दा उपत्यका सम्पन्न भएकाे हाे
1,GENERAL,संचालन गर्न जानेन,गुठि संचालन गर्न जानेन
1,GENERAL,क्रिश्चियन एजेन्ट,राज्य आफैं अन्तरास्ट्रिय क्रिश्चियन एजेन्ट बनेर होलिवाइन सम्मेलन गर्छ कोरिएन क्रिश्चियन बिश्वबिद्धालय क्रिश्चियन धर्म फैलाउन सहयोग गरेबापत भनेर दिय पदवी थाप्छ सयौं क्रिश्चियन धर्मपरिवर्तन गर्न लगानी गर्ने संस्था दर्ता गर्न दिन्छ यहि सरकार नेपाल परंरागत धर्म संस्कृति रितिरिवाज जोगाउँछ भन्नू एउ टा बेकुफी मात्रै हो सम्पुर्ण सनातन धर्मावलम्बी सडक आउनुपर्छ
1,GENERAL,ताई न तुइ,ताई न तुइ सधै बहस
1,GENERAL,हडपेकाे छ,बालुवाटार काे जग्गा त हडपेकाे छ गुठि त्यसै छाेड्छन बाहुन हरु याे एउ टा सडयन्त्र हाे
1,GENERAL,मेट्ने कुचेस्टा गरिस को,उठ नेवार दाजुभाइ दिदीबहिनी सस्कृती बचाउन उठ नत्र यो दलाल सरकार काठमाडौं नेवार समुदाय सस्कृती मेट्ने कुचेस्टा गरिस
1,GENERAL,बेच्ने भो,गुथी बिधेयक ल्यायेर देस नै बेच्ने भो बाहुन हरु हे भगवान कसरी हुन्छ बचाउ मेरो देश लाई
1,GENERAL,मुला,अब सत्ता धल्छ नेता मन्त्री साइद लागे हुन्छ काम छैन मुला हरु
1,GENERAL,mc चम्चा,चम्चा हरु
1,GENERAL,नाठो,पद्मा अर्याल लाई एक प्रश्न बिष्णु पौडेल सम्धी हुन नाठो
1,GENERAL,भ्रष्टाचार,नेपाल सबैभन्दा शक्तिशाली संस्था प्रधानमन्त्री हो उहाँ कै खल्ली भए सम्बधित भ्रष्टाचार प्रमाण छानविन गर्न लामो समय लाग्दो रहेछ
1,GENERAL,लाजमर्दो कुरा,कति लाजमर्दो कुरा सरकारि जग्गा कति छ मन्त्रिलाइ नै थाहै छैन रे खालि बसेर तलब भत्ता खान्छौ लाज मान
1,GENERAL,दलाल,मन्त्री भन्दा नि ठुलाे नेता बिस्नु पौडेल भुमाफिया दलाल भए पछि बिचरा मन्त्री पद मात्र होईन राजनीतिक जिवन नै समाप्त हुने होला अनि के कार्वाहि
1,GENERAL,बेच्न थाले,राजा हुदा न देश बिचियो न सरकारि जग्गा बिचियो खाते पार्टी नेता अाए सब बेच्न थाले
0,GENERAL,गहन छ,निमेष बन्जाडे ज्यु प्रस्न प्रस्तुति अति गहन छ
1,GENERAL,भूमाफिया,वर्ष यो सरकार टिक्ने हो भने सरकारी रा गुठी जग्गा सबै सरकार बस्ने हुने हरु हुने छ यो नेकापा सरकार नै भूमाफिया हो
0,GENERAL,देशभक्त,युवराज कोइराला जस्ता देशभक्त मान्छे छन् त नेपाल छ अनि हामी नेपाली हुन पाए का छौं
0,GENERAL,"hats off , सल्युट यु सर",सल्युट यु सर
1,GENERAL,दलाल र भर्स्त,हाम्रो देश सबै दलाल भर्स्त हरु मात्र राज हुने भयो देश कहिले बिकास नहुने भयो नालायक चोर हरु
0,GENERAL,सच्चा देशभक्त,यस कार्यक्रम हेरे पछि यस देश अरु जना सच्चा देशभक्त हरु पनि रहेछन् भन्ने कुरा थाहा भयो
1,GENERAL,रखेल,पद्मा अर्याल कुरो सुन्दा त्यो पद्मा भन्ने आईमाई बिष्णु पौडेल रखेल रैछ भन्ने कुनै दुईमत रहेन
1,GENERAL,कम्मर मुनि को भुत्ला,अपराधी डाँका हरु स्वर्ग सपना देखाएर किन राजा फाले का रहेछ्न भन्ने कुरा कम्मर मुनि भुत्ला देखिने गरि प्रष्ट भयो
1,GENERAL,भ्रस्ट,सम्मानित अदालत का न्यायधीश नै भ्रस्ट भए पछि गर्ने के
0,GENERAL,सुपुत्र,युबराज कोईराला जस्ता देश का सुपुत्र हरु छन त भ्रष्ट नेता दलाल भुमाफिया हरु लाई चैन सङ्ग देश लुट्न मिले छैन नत्र त कहि खाली ठाउ रहने थिएन
0,GENERAL,धन्यवाद,धन्यवाद युबराज कोइराला ज्यु
1,GENERAL,लाज लाग्दैन,दुई तिहाइ सरकार लाई लाज लाग्दैन
1,GENERAL,लाज पचे को नालायेक,भन्ने बेला राजा नाम भए सबै सम्पती सरकार नाम ल्याउनु पर्छ भन्न लाज पचे नालायेक सरकार
0,GENERAL,सपूत,होइन हाम्रो देश युवराज कोइरालाज्यू जस्ता सपूत पनि रहेछन् धन्य भएँ आज उहाँ का कुरा सुनेर
0,GENERAL,राम्रो सुरूवात,यस्तो बदमासी जनता राष्ट्रिय सम्पति लुटिए कुरा प्रथम चोटी खोजि अनुसन्धान गर्ने बर्तमान सरकार कदम राम्रो सुरूवात
1,GENERAL,लुटेरा,यी सबै लुटेरा हुन
1,GENERAL,रौ नै thadoo,वाेले सुन्दा पनि रौ नै
1,GENERAL,नियती खराब,होइन यो कान्तिपुर किन जहिल्यै पनि एकै किसिम का अपराधी हरु मात्र लिएर आउँछ हो राम्रो अतिथी नपाएर हो कान्तिपुर पनि नियती खराब भएर हो
1,GENERAL,साला,यो केशब बडाल भन्दा अरु कुनै चोर छैन नेकपा यो साला त अनुहार हेर्यो साइत नै बिग्रन्छ चोर
0,GENERAL,कुरा ठिक,जना माहा पुरुष कुरा ठिक हो तर मन्त्री ज्यु कुरा प्रष्ट के बुज्न सकिन्छ भने आफ्नो पद पाटी लाई बचाउदै छिन
1,GENERAL,हुने थिएन,नेपाल राज्य ऐनकानुन भै दिए भए सरकारी जमिन ब्याक्ति नाम हुने थिएन
1,GENERAL,प्रपन्च,अन्त्य आयोग बहना ढिसमिस गर्ने प्रपन्च हो
1,GENERAL,लाजमर्दो,लाजमर्दो कुरा मन्त्रि पनि अन्धा धुन्ध के भईरा छ वल्ल सुनिराछ मन्त्रालय उपन्यास पढेर वस्छे क्या हो
1,GENERAL,जन्तु,यो केशब बडालभन्ने जन्तु लाई कुनै पनि च्यानल कहिल्यै नबोलाउनुहोस यो कहिल्यै साचो बोल्दैन मन्त्री अर्याल पनि भु माफिया कै पक्ष छिन यस्ता पनि मन्त्री
1,GENERAL,हे भगवान्,हे भगवान् येस्ता आइमाई पनि मन्त्रालय सम्हालेर बसे छ्न यो देश सुगा जस्तो जे सि का छ पार्टि त्येहि मात्र बोले आफ्नो न बुद्दि छ न अनुभव धिक्कार छ नेपाली जनता लाइ येस्ता आइमाई लाइ जिताउने अरु सब गुंगा बहिरा मात्र छ्न क्या त्यो ठाउँ
0,GENERAL,राम्रोकार्य,यो सरकार अत्यन्तै राम्रोकार्य गर्न लागे छ
1,GENERAL,बहिस्कार गर्पर्छ,ज्यान बाजि लगाएर अरु खोजेर ल्याए मुदा सरकारलाइ किन गर्ब गर्ने बहिस्कार गर्पर्छ
1,GENERAL,जिब्रो चपाएर बोली,स्याग्जा की मंन्त्री जिब्रो चपाएर बोली राकी छे यस लाई सबै कुरो थाछ
1,GENERAL,अचम्म लाग्यो,नेपाल का नेता नेती बोल्ने शैली हेरेर अचम्म लाग्यो
1,GENERAL,गु खाने,छोडि दिऊ भो नेता ज्यु हो तपाई हरू जस्तो गु खाने बाट यो देश केहि हुन्न अब बिकल्प आई सक्यो सबै बैशाख गते बजे माईतिघर आउनुहोला हेर्न
1,GENERAL,रिप,काङ्ग्रेस यमाले माव रिप
0,GENERAL,गरिन्छ,इ जागिर गर्न आयकालाइ समर्थन गरिन्न बरु बिबेकशिलसाझा लाइ गरिन्छ अब
1,GENERAL,नराम्रो काम गर्न,तिमी मन्त्री हरु सम्सद हरु सबै नराम्रो काम गर्न जनता लाई दुख दिन नेपाल नेपाली लाई फसाउन खोजे छ
1,GENERAL,रिस उच्च,हे भगवान यी पद्मा आर्यल मन्त्री कुरा सुन्दा यति रिस उच्च के गर्नु भोट दियर गल्ती गरे जनता
1,GENERAL,रिस उठछ,केश्ब चोर लाई देखे पनि रिस उठछ
1,GENERAL,भूमाफिया हरू को हनुमान,यो बडाल भन्ने मानिस त भूमाफिया हरू हनुमान पो रहेछ
1,GENERAL,माकुरि,ओई माकुरि ति तिम्रा शक्तिशाली आयोग तिमी हरु कै झोल हली भतुवा राख्छौ अरु बाहिर सुरेन्द्र केसि पाईलट बिजय लामा अर्जुन सुबेदि हरु जस्ता लाई पनि राख्छौ तिम्रो आयोग तिम्रो भतुवा हरु मात्रै राख्छौ भने ति आयोग घाम मुतेर सुकाईदीए हुन्छ
1,GENERAL,घाँस,बालुवाटार जाग्गा किन्न हुन्न त्यो त्यो जग्गा सरकार हो भन्ने पनि थाहा नभए कस्तो घाँस हो त्यो घसणी हो त्यो पौडेल
0,GENERAL,राम्रो,हजुर कार्यक्रम राम्रो छ यी सबै आफ्नो पावर भएको बेला सरकारी जमीन त के कुरा देश पनि बेचीसके यी चोर नेता हरू
1,GENERAL,माते को,केशव बडाल जस्तो माते चढे केपि कट्टु जस्ता लाई बहस ल्याएर न्यायोचित जवाफ आउला जस्तो लाग्दैन मलाइ त
0,GENERAL,राम्रो व्यक्ति,युबराज कोईराल जस्ता राम्रो व्यक्ति पनि यो देश रहेछ
0,GENERAL,सम्मान गर्छु,उहाँ लाई हृदय देखि सम्मान गर्छु
1,GENERAL,जेल हाल्दिनु पर्छ,सबै चोर हो सबै जना लाई जेल हाल्दिनु पर्छ
1,GENERAL,पछि हटे को,हाेइन भने सरकार स्वयम् पछि हटे संकेत देखिन्छ
1,GENERAL,राजिनामा,राजिनामा दिए हुन्छ सबै
1,GENERAL,बाउ को खेलायेर,अचम्म लाग्छ भ्रष्टाचारी हरु कुरा सुन्दा नि रिकार्ड फाइल छैन रे हेन्ड ओभर गर्दा कस् का बाउ खेलायेर बसेकाथेउ
1,GENERAL,भ्रष्टाचारी,सरकार नै भ्रष्टाचारी छ देश
1,GENERAL,अपराध,चोरी माल सस्तो खरिद गर्नुपनि अपराध नै ठहरिन्छ त्यसैलै त्यो नेता फटाहा चोर हो
0,GENERAL,थाह पाए को हो,यो सरकार अाए पछि नै त्रिताल अायोग गठन भएर बालुवाटार काण्ड सबै थाह पाए हो
1,GENERAL,बिनाबाउ का केटाकेटी,मान्त्री लाई गाली गर्ने बिनाबाउ का केटाकेटी हरु नकरात्मक कमेन्ट गरेर अफैँ लाई थुक्ने काम गरे
1,GENERAL,चिड,नेता भनेसी चिड हुन लागिसकेव यार कहिल्यै आफ्नो गल्ती याचना नगर्ने आफ्ना लाई ढाकछोप गर्ने
1,GENERAL,जेल मा कोचुन,बरु राजै ठिक रैच यार जो कोहि आउन तर इनिहरुलाइ जेल कोचुन यार समर्थन गरिन्छ
1,GENERAL,घाँस,घाँस नै रैछ नि मन्त्री
1,GENERAL,घास,यो आईमे लाई केही थाछैन हौ पद मात्रै बसे हो घास हरु
0,GENERAL,Big salute,कोइराला कुरा साहस्लाइ
1,GENERAL,भ्रष्ट पार्टी,बिष्णु पौडेल लाई महासचिव पद बाट हटाईएन भने नेकपा नेपाल सबै भन्दा ठूलो भ्रष्ट पार्टी भए सन्देश पुग्ने निश्चित छ
1,GENERAL,घरबार बिगार्ने फटाह,टुड़ीखेल लखेटी लखेटी जुत्ता पिट्नु पर्ने मान्छे केशब बडाल गाउँ टोल समाज घरबार बिगार्ने फटाह आइमाई पद्मा अर्याल
0,GENERAL,धन्यबाद,धन्यबाद निमेस जी समसामायीक बिषय तत्काल जनता लाई जानकारी गराउनु भए
0,GENERAL,संमान,नेपाली जनता प्रधानमन्त्री लाई संमान गर्छन
1,GENERAL,साले,रिकॉर्ड फाईल नै छैन रे के लिन्छौ साले पोस्ट जादा कार्यकाल समल्दा
1,GENERAL,घुस लेनदेन,मन्त्री ज्यु सबै भन्दा घुस लेनदेन हुने मालपोत कार्यलय हो
1,GENERAL,बिकराल,डिजिटल समस्य झन बिकराल छ
1,GENERAL,भ्रष्ट हरु कै मतियार,यो सोम प्रसाद त भ्रष्ट हरु कै मतियार हो भन्ने त प्रष्टै छ
1,GENERAL,भ्रष्ट,कम्युनिस्ट पार्टी पार्टीगत रुपमै भ्रष्ट छ
1,GENERAL,भ्रष्ट,सुशासन रहित भ्रष्ट ब्यक्ति हरु सत्ता रहे स्थिरता झनै खतरनाक छ
1,GENERAL,भाते,यसभन्दा पहिले पनि त तिमी भाते हरु नै अालोपालो सत्ता थियौ नि पाजी हरु
1,GENERAL,गैरजिम्मेदार चोर,अब यस्ता गैरजिम्मेदार चोर लाई टीवी नेपाली जनता लाई नदेखाऊन अनूरोथ छ
1,GENERAL,पद्च्युत,अहिले का सताधारी हरु जति सबैलाइ पद्च्युत नगरी यो देश बाट भ्रष्टाचार कहिले पनि उन्मुलन हुन्न
1,GENERAL,राष्ट्रघाती र दलाल,याे राष्ट्रघाती दलाल पुजीँवाद लाई जाेगाउने सरकार हाे
1,GENERAL,डाका लुटेरा,डाका लुटेरा हरु स्थिर सरकार के अर्थ छ
1,GENERAL,भ्रस्टाचारि को मतियार,सोम पाण्डे भ्रस्टाचारि मतियार जस्तो लाग्यो
0,GENERAL,मात्रै य औटा यस्तो पत्रकार,निबेस सर तपाईं मात्रै य औटा यस्तो पत्रकार लाग्छ जुन नारायण श्रेष्ठ ठाउँ लिन सक्नुहुन्छ
1,GENERAL,भ्रटचार,आम्दानि श्रोत भ्रटचार नै हो नि
1,GENERAL,गरिव बनिरहे का,जसरी नेता धनाड्य बन्दै गए त्यसरी नै कृषक मजदुर हरु कृषि उत्पादन उचित मुल्य नतोकिनु उचित पारिश्रमिक अनियन्त्रित अनुचित मुल्यबृद्दी झन गरिव बनिरहे का छन
1,GENERAL,खोले,यो कम्युनिष्ट खोले नेता खाली पार्टी बचाउ गर्दै छ
1,GENERAL,"भ्रस्टचार , दलाली , कमिसन , देस र जनता लुट्ने",नेपाल नेता भ्रस्टचार दलाली कमिसन देस जनता लुट्ने गर्छ अनी नेता दिन रात चौगुना धनी हुन्छ तर देस जनता कंगाल गरीब बनाउँछ
1,GENERAL,हटाउनु पर्छ,सोम काम छैन यस्लाइ त पार्टी बाट नि हटाउनु पर्छ
0,GENERAL,गरेकोे थिएन,राजा तँ यस्तो भस्त्रचार तँ गरेकोे थिएन
1,GENERAL,भ्रष्टाचारी हरु को मतियार,यो पाण्डे वास्तवमा भ्रष्टाचारी हरु मतियार नै होकि झैँ लाग्यो अन्तरिम सरकार कुरा निकाल्ने बितिक् कै यस कनपारो किन तात्यो
1,GENERAL,जे बोल्छन त्यो गर्दैनन्,नेता हरु जे बोल्छन त्यो गर्दैनन् जे बोल्दैनन् त्यो गर्छन्
0,GENERAL,धन्यवाद,धन्यवाद कान्तिपुर टेलीभिजन लाई धेरै राम्रो विषय बहस गर्नु भए
1,GENERAL,चोर भ्रष्ट घुसखोरी दलाल,यो सधै हुनुपर्छ यो देश चोर भ्रष्ट घुसखोरी दलाल हरु लाई बाहिर ल्याउनु पर्छ
1,GENERAL,भर्स्त लाई जेगाउने,नेकपा का नेता भर्स्त लाई जेगाउने सरकार लाई बचाउने काम गरेकाछन
1,GENERAL,भरशाचारी,शमपती शुद्रीकरन केपी ओली शङग भय का मुखय भरशाचारी ओली शिधै बुझिनछन
1,GENERAL,कुत्ता,यो सोम प्रसात पान्दे कुत्ता लाई किन बोला यस जन्ता हित कुरा गरदैन
1,GENERAL,लुट्न लाइसन्स पाए का,यी लुट्न लाइसन्स पाए का नेता लाखाै लाख जनता मारेर कमाए का धनी भएर के गर्नु त्यहि धन रुवाइँ नै रहेछ
0,GENERAL,सलाम छ,एनसेल अर्ब तीराउन लागी ठुलो भुमी का खेल्ने न्याधीस सुरेन्द्र सर लाई सलाम छ
1,GENERAL,ढाड भाँच्चिने गरि,राणि वान हरु ढाड भाँच्चिने गरि कर लादे छ
1,GENERAL,तस्कर संग मिलेमतो,तस्कर संग मिलेमतो आत्मनिर्भर उत्पादन क्षेत्र शून्य
1,GENERAL,झोलेझाम्टे,किन नहोस नेता तिन का झोलेझाम्टे धनी
1,GENERAL,भ्रष्टाचारि,हरेक कार्यक्रम आउनी सानो देखि ठुलो नेता हरु भ्रष्टाचारि लाई काराबाही गर्नु पर्छ भने सुनिन्छ
1,GENERAL,भर्स्टाचार हुने मुलुक,जरा मात्र गाडे होइन मुला रुख नै बनिस के ल्याङ्ग कुरा गरे यार बिस्व् नम्बर भर्स्टाचार हुने मुलुक भन्ने बित्तिकै थाहा पाउन त्
1,GENERAL,दिमाग नै छैन,सोमे दिमाग नै छैन रैछ येस्तो मान्छे लाई किन बोला
0,GENERAL,बनाउछ,देश बनाए एहि सरकार बनाउछ अरु खोज्न थाल्यो भने देअ अझै बर्श पछि जान्छ
