Target,Predicted Label,Remarks,Sentences,Cleaned
1,GENERAL,नाटक हुन,परिबर्तन बिरोधी हरु परिबर्तन स्युकार्न गार्हो भा को मात्र हो यी सब नाटक हुन ।,परिबर्तन बिरोधी परिबर्तन स्युकार्न गार्हो भा सब नाटक
1,GENERAL,नस्तिक र होलि वाइन खाने,जस ले जे भने पनि आखिर नेपाल को धर्म सस्कृती परम्परा मौलिक लाई मास्ने नै हो किन अहिले कि सरकार नस्तिक र होलि वाइन खाने हरु को छ ।,आखिर नेपाल धर्म सस्कृती परम्परा मौलिक मास्ने अहिले सरकार नस्तिक होलि वाइन खाने
1,GENERAL,समाप्त पार्ने खेल हो,पक्कै पनि हिन्दुत्व समाप्त पार्ने खेल हो कि जस्तो भान आमनागरिक मा भए को छ पछिल्लो गुठी काण्ड ले ।,हिन्दुत्व समाप्त पार्ने खेल भान आमनागरिक गुठी काण्ड
1,GENERAL,गै त सक्यो,"बाकिनै अब यहि त थियो , गुठी , अरुत सबै खतम भै सके को , नदिनाला , कलकारखाना , धर्म , सस्कृती , गै त सक्यो , बा की आस लाग्दो नेपाली सेना छ , गुठी , ।",बाकिनै यहि गुठी अरुत खतम भै सके नदिनाला कलकारखाना धर्म सस्कृती गै बा आस लाग्दो नेपाली सेना गुठी
1,GENERAL,अनपढ,बाहुन ले च्याउ खाए पो स्वाद जस्तै गुठि नै नभए को बाहुन लाइ गुठि कर्म मर्म के थाहा कुरा ले त अनपढ बाहुन ले phD लाइ निल्दिन्छ ।,बाहुन च्याउ खाए पो स्वाद गुठि नभए बाहुन गुठि कर्म मर्म थाहा अनपढ बाहुन निल्दिन्छ
1,GENERAL,बेच्न लागे,देउता पनि बेच्न लागे बाहुन क्षेत्री ले ।,देउता बेच्न लागे बाहुन क्षेत्री
1,GENERAL,भु माफिया को एजेन्ट,यो दुइ जना बाहुन हरु भु माफिया को एजेन्ट हरु हुन ।,दुइ जना बाहुन भु माफिया एजेन्ट
1,GENERAL,लखेटनु प्ररने,यो नेपाल का बाहुन सब लखेटनु प्ररने दिन अायो हिन्दु होस वा बाैद / किराँत मासेर किश्नन बनाउने पनि यिनै हुनु देश को सब स्रम्पदा मासने भए यी बाहुन को खोल्ड अोडने ले. ... ।,नेपाल बाहुन सब लखेटनु प्ररने दिन अायो हिन्दु होस वा बाैद किराँत मासेर किश्नन बनाउने यिनै देश सब स्रम्पदा मासने बाहुन खोल्ड अोडने
1,GENERAL,कम्मर मुनि को भुत्ला देखायो,भ्रष्टाचार बिरोधि अभियन्ता ज्ञानेन्द्र शाहि माथी राज्य द्वारा बर्बर दमन गरेर लोकतन्त्र को कम्मर मुनि को भुत्ला देखायो ।,भ्रष्टाचार बिरोधि अभियन्ता ज्ञानेन्द्र शाहि माथी राज्य बर्बर दमन लोकतन्त्र कम्मर मुनि भुत्ला देखायो
1,GENERAL,अपराधी हरु ले पालेको,नेपाल बिरोधि अपराधी हरु ले पालेको मिडिया कुनै चुइक्क बोलेनन् ।,नेपाल बिरोधि अपराधी पालेको मिडिया चुइक्क बोलेनन्
1,GENERAL,अपराधी दलाल हरु ले पालेको,कान्तिपुर यस्तै अपराधी दलाल हरु ले पालेको एउटा मिडिया हो ।,कान्तिपुर यस्तै अपराधी दलाल पालेको एउटा मिडिया
0,GENERAL,विद्वान,उपस्थित विद्वान हरु मा कस कस को गुठी छ ?,उपस्थित विद्वान कस कस गुठी
1,GENERAL,सँन्स्कार खतम गर्नु पर्छ,कुनाई जाती र समुदाय लाई मास्नु या खतम गर्नुछ भने उस को धर्म र सँन्स्कार खतम गर्नु पर्छ भन्ने नीति हो यो गुठि बिध्यायक नीति ।,कुनाई जाती समुदाय मास्नु खतम उस धर्म सँन्स्कार खतम नीति गुठि बिध्यायक नीति
1,GENERAL,भु माफिया को गोटि,यो सब भु माफिया को चाल हो भने नेपाल सरकार पनि तिनै भु माफिया को गोटि बन्दैछ ।,सब भु माफिया चाल नेपाल सरकार तिनै भु माफिया गोटि बन्दैछ
1,GENERAL,फिर्ता हुनैपर्छ,विधेक फिर्ता हुनैपर्छ नत्र चर्को आन्दोलन हुने छ ?,विधेक फिर्ता हुनैपर्छ चर्को आन्दोलन
1,GENERAL,दलाल,दलाल नेता सरकार ले आफै मोहि बनी हदपिने दाउ हो ।,दलाल नेता सरकार मोहि बनी हदपिने दाउ
1,GENERAL,लाटो देश मा बाठो तन्देरी,याहाँ त लाटो देश मा बाठो तन्देरी भनेजस्तो भो ।,याहाँ लाटो देश बाठो तन्देरी भनेजस्तो भो
1,GENERAL,छाउरा,बामे का छाउरा हरु ले देस सक्क्ने भय ।,बामे छाउरा देस सक्क्ने भय
1,GENERAL,लगार्ने नियात,यो सबै काठ्माडो को न्यावार जाति लाइ हरुलाइ लगार्ने नियात हो ।,काठ्माडो न्यावार जाति लगार्ने नियात
1,GENERAL,भ्रष्ट चोर दलाली,भ्रष्ट चोर दलाली हरु मठ मन्दिर को गुठी ब्याक्तीगत नाम मा गरिए को छ सरकार ले ठोस कदम चालोस ।,भ्रष्ट चोर दलाली मठ मन्दिर गुठी ब्याक्तीगत नाम गरिए सरकार ठोस कदम चालोस
0,GENERAL,ठिक रहेछ,अहिले धर्म मात्र बेचे का छन र चोर हरु ले सत्ता मा आयपछी 30 / 35 हजार प्रत्येक नेपालि को टाउको मा रिण बोकाय को छ बरु पन्चायत ठिक रहेछ ।,अहिले धर्म बेचे छन चोर सत्ता आयपछी हजार नेपालि टाउको रिण बोकाय पन्चायत ठिक
1,GENERAL,चोर भ्रस्टचारी,यो विधेक मा चोर भ्रस्टचारी बाहुन छेत्री हरु को नेवारी किरात आदिबासी संसृति मास्ने पेल्ने मनसाय छ ।,विधेक चोर भ्रस्टचारी बाहुन छेत्री नेवारी किरात आदिबासी संसृति मास्ने पेल्ने मनसाय
1,GENERAL,दलाल,"देश बेच्न उग्र रुप मा लागे का दलाल ले देश , डुबाय ।",देश बेच्न उग्र रुप लागे दलाल देश डुबाय
0,GENERAL,सोझा,सोझा नेवार लाई नियमन गरि राजनीतिक पहुच भए का मान्छे को अघि पछि गर्न लाई लैए को गुठी बिदयक हो यो ।,सोझा नेवार नियमन राजनीतिक पहुच मान्छे अघि लैए गुठी बिदयक
1,GENERAL,हाेचिविन काे मुत खाने,हाम्रा मठ मन्दिर गुम्बा धर्म सस्कृति धाेस्त पारेर ईनि हाेलिविन अर्थात हाेचिविन काे मुत खाने हरु ले ख्रिस्चियन चर्च बनाउन खाेजेकाे हुन अब सबै नपालि जनता मिलेर देस निकाला गर्नु पर्छ ।,हाम्रा मठ मन्दिर गुम्बा धर्म सस्कृति धाेस्त पारेर ईनि हाेलिविन हाेचिविन काे मुत खाने ख्रिस्चियन चर्च बनाउन खाेजेकाे नपालि जनता मिलेर देस निकाला
1,GENERAL,दलाल,यो पाखन्डी भन्डारी क्रिश्चियन को दलाल ओलि को मुत पिएर होलि वाइन को सोझो गर्दैछ नेपाल को परम्परा सस्कार सस्कृती मास्ने नियत हो ।,पाखन्डी भन्डारी क्रिश्चियन दलाल ओलि मुत पिएर होलि वाइन सोझो नेपाल परम्परा सस्कार सस्कृती मास्ने नियत
1,GENERAL,धर्म मास्ने,सनातन धर्म मास्ने योजना अनुसार आ को यो विधेक हो ।,सनातन धर्म मास्ने योजना विधेक
1,GENERAL,चोरै चोर,"सबै तहतब् का मा चोरै चोर भए , ।",तहतब् चोरै चोर
1,GENERAL,"भू-माफिया , तस्कर","समस्या यो गुठि को होइन , समस्या हो सिद्धांन्त को खोल ओडे का भू-माफिया , तस्कर हरू को गुठी को जग्गा हडपने अनि बैद्यता दिने ।",समस्या गुठि समस्या सिद्धांन्त खोल ओडे भूमाफिया तस्कर गुठी जग्गा हडपने अनि बैद्यता
1,GENERAL,भ्रष्ट,यो सबै समस्या को समाधान को लागि यो भ्रष्ट राज्य सत्ता सदा को लागि अन्त्य गर्न एक हौ ।,समस्या समाधान भ्रष्ट राज्य सत्ता अन्त्य हौ
1,GENERAL,टाउके र लाउके,मन्द विष घोलेर खुबाइदैछ हरेक विधेयक ल्याएर जनता सजक नहुने हो भने टाउके र लाउके ले सबै चुस्ने स्रोत खोज्दैछन् ।,मन्द विष घोलेर खुबाइदैछ विधेयक ल्याएर जनता सजक नहुने टाउके लाउके चुस्ने स्रोत खोज्दैछन्
1,GENERAL,पशु,अधिकारी पशु हो की मान्छे बालुवाटार को जग्गा त बेची खायौं अझ गुठी हरु छोड्छौ तिमी हरु दलाल ले थुक्क नलायक पशु ।,अधिकारी पशु मान्छे बालुवाटार जग्गा बेची खायौं अझ गुठी छोड्छौ दलाल थुक्क नलायक पशु
1,GENERAL,गूठी खाने खेल हो,सात पुस्ता भने को कति होर सात पुस्ता भन्दा भदी भयो भनेर गूठी खाने खेल हो ।,पुस्ता कति होर पुस्ता भनेर गूठी खाने खेल
1,GENERAL,अस्तित्व मेटाउन,नेपाल को अस्तित्व मेटाउन लाई यो गुठी कानुन रामबाण हो यस्पछी नेपाल लाई तहस नहस पार्न अरु केही गर्न पर्दैन चेतना भय ।,नेपाल अस्तित्व मेटाउन गुठी कानुन रामबाण यस्पछी नेपाल तहस नहस पार्न अरु पर्दैन चेतना भय
1,GENERAL,मुनकाे वृयपान,"अस्ती मुनकाे वृयपान पनि नेपालीकाे हीत मा भन्दै थिए अरिङ्गाल हरू अहिले गुठीपनि त्यही भन्दैछन , कृश्यन का भतुवा हरू ।",अस्ती मुनकाे वृयपान नेपालीकाे हीत अरिङ्गाल अहिले गुठीपनि त्यही भन्दैछन कृश्यन भतुवा
1,GENERAL,हस्तक्षेप गरिरहे का,अब गूठी मा हस्तक्षेप गरिरहे का छन ।,गूठी हस्तक्षेप गरिरहे छन
1,GENERAL,कलङ्क,म पनि बाहुन हु तर यी बाहुन क्षेत्री को नाम मा कलङ्क हरुलाइ चरम यातना दिएर मारिदिए हुन्छ ।,बाहुन बाहुन क्षेत्री नाम कलङ्क चरम यातना दिएर मारिदिए
1,GENERAL,धृस्टता,ता कि भोलि को दिन मा देश को सन्कृती बेचबिखन तथा देश द्रोह गरने धृस्टता कसै ले पनि नगरोस ।,ता भोलि दिन देश सन्कृती बेचबिखन देश द्रोह धृस्टता नगरोस
1,GENERAL,घृणा छ,म भित्र यिनि हरु प्रती चरम घृणा छ ।,यिनि प्रती चरम घृणा
0,GENERAL,सम्पन्न भएकाे हाे,"गुठि ले गर्दा अमेरिका , बेलायत नबन्दा उपत्यका सम्पन्न भएकाे हाे ।",गुठि अमेरिका बेलायत नबन्दा उपत्यका सम्पन्न भएकाे हाे
1,GENERAL,संचालन गर्न जानेन,गुठि संचालन गर्न जानेन ।,गुठि संचालन जानेन
1,GENERAL,क्रिश्चियन एजेन्ट,"राज्य आफैं अन्तरास्ट्रिय क्रिश्चियन एजेन्ट बनेर होलिवाइन सम्मेलन गर्छ कोरिएन क्रिश्चियन बिश्वबिद्धालय ले क्रिश्चियन धर्म फैलाउन सहयोग गरेबापत भनेर दिय को पदवी थाप्छ , सयौं क्रिश्चियन धर्मपरिवर्तन गर्न लगानी गर्ने संस्था दर्ता गर्न दिन्छ , यहि सरकार ले नेपाल को परंरागत धर्म , संस्कृति रितिरिवाज जोगाउँछ भन्नू एउ टा बेकुफी मात्रै हो सम्पुर्ण सनातन धर्मावलम्बी सडक मा आउनुपर्छ ।",राज्य आफैं अन्तरास्ट्रिय क्रिश्चियन एजेन्ट बनेर होलिवाइन सम्मेलन कोरिएन क्रिश्चियन बिश्वबिद्धालय क्रिश्चियन धर्म फैलाउन सहयोग गरेबापत भनेर दिय पदवी थाप्छ क्रिश्चियन धर्मपरिवर्तन लगानी संस्था दर्ता यहि सरकार नेपाल परंरागत धर्म संस्कृति रितिरिवाज जोगाउँछ भन्नू एउ टा बेकुफी सम्पुर्ण सनातन धर्मावलम्बी सडक आउनुपर्छ
1,GENERAL,ताई न तुइ,ताई न तुइ को सधै को बहस ।,ताई तुइ सधै बहस
1,GENERAL,हडपेकाे छ,बालुवाटार काे जग्गा त हडपेकाे छ गुठि त्यसै छाेड्छन बाहुन हरु ले याे एउ टा सडयन्त्र हाे ।,बालुवाटार काे जग्गा हडपेकाे गुठि छाेड्छन बाहुन याे एउ टा सडयन्त्र हाे
1,GENERAL,मेट्ने कुचेस्टा गरिस को,उठ नेवार दाजुभाइ दिदीबहिनी सस्कृती बचाउन उठ नत्र यो दलाल ले सरकार ले काठमाडौं र नेवार समुदाय को सस्कृती मेट्ने कुचेस्टा गरिस को ।,उठ नेवार दाजुभाइ दिदीबहिनी सस्कृती बचाउन उठ दलाल सरकार काठमाडौं नेवार समुदाय सस्कृती मेट्ने कुचेस्टा गरिस
1,GENERAL,बेच्ने भो,गुथी बिधेयक ल्यायेर देस नै बेच्ने भो बाहुन हरु ले हे भगवान कसरी हुन्छ बचाउ मेरो देश लाई ।,गुथी बिधेयक ल्यायेर देस बेच्ने भो बाहुन हे भगवान बचाउ देश
1,GENERAL,मुला,अब सत्ता धल्छ नेता मन्त्री साइद लागे हुन्छ काम छैन मुला हरु ।,सत्ता धल्छ नेता मन्त्री साइद लागे काम मुला
1,GENERAL,mc चम्चा,Dr surendra kc lai bolaunu pardaina mc चम्चा हरु ।,चम्चा
1,GENERAL,नाठो,"मा. पद्मा अर्याल लाई एक प्रश्न , बिष्णु पौडेल सम्धी हुन कि नाठो ?",पद्मा अर्याल प्रश्न बिष्णु पौडेल सम्धी नाठो
1,GENERAL,भ्रष्टाचार,"नेपाल को सबैभन्दा शक्तिशाली संस्था प्रधानमन्त्री हो , उहाँ कै खल्ली मा भए को Nepal Engineering College सम्बधित भ्रष्टाचार को प्रमाण छानविन गर्न लामो समय लाग्दो रहेछ ।",नेपाल सबैभन्दा शक्तिशाली संस्था प्रधानमन्त्री खल्ली सम्बधित भ्रष्टाचार प्रमाण छानविन लामो लाग्दो
1,GENERAL,लाजमर्दो कुरा,कति लाजमर्दो कुरा सरकारि जग्गा कति छ मन्त्रिलाइ नै थाहै छैन रे खालि बसेर तलब भत्ता खान्छौ लाज मान ।,कति लाजमर्दो सरकारि जग्गा कति मन्त्रिलाइ थाहै रे खालि बसेर तलब भत्ता खान्छौ लाज मान
1,GENERAL,दलाल,मन्त्री भन्दा नि ठुलाे नेता बिस्नु पौडेल भुमाफिया को दलाल भए पछि बिचरा मन्त्री को पद मात्र होईन राजनीतिक जिवन नै समाप्त हुने होला अनि के को कार्वाहि ।,मन्त्री ठुलाे नेता पौडेल भुमाफिया दलाल बिचरा मन्त्री पद होईन राजनीतिक जिवन समाप्त अनि कार्वाहि
1,GENERAL,बेच्न थाले,राजा हुदा न देश बिचियो न सरकारि जग्गा बिचियो खाते पार्टी नेता अाए सब बेच्न थाले ।,राजा देश बिचियो सरकारि जग्गा बिचियो खाते पार्टी नेता अाए सब बेच्न थाले
0,GENERAL,गहन छ,निमेष बन्जाडे ज्यु को प्रस्न को प्रस्तुति अति गहन छ ।,निमेष बन्जाडे ज्यु प्रस्न प्रस्तुति अति गहन
1,GENERAL,भूमाफिया,"5 वर्ष यो सरकार टिक्ने हो भने , सरकारी रा गुठी को जग्गा सबै सरकार मा बस्ने हुने हरु को हुने छ , , यो , 2 / ३ नेकापा सरकार नै भूमाफिया को हो ।",वर्ष सरकार टिक्ने सरकारी रा गुठी जग्गा सरकार बस्ने नेकापा सरकार भूमाफिया
0,GENERAL,देशभक्त,युवराज कोइराला जस्ता देशभक्त मान्छे छन् र त नेपाल छ अनि हामी नेपाली हुन पाए का छौं ।,युवराज कोइराला जस्ता देशभक्त मान्छे नेपाल अनि नेपाली पाए
0,GENERAL,"hats off , सल्युट यु सर","hats off , सल्युट यु सर ।",सल्युट यु सर
1,GENERAL,दलाल र भर्स्त,हाम्रो देश मा सबै दलाल र भर्स्त हरु को मात्र राज हुने भयो देश कहिले बिकास नहुने भयो नालायक चोर हरु ।,देश दलाल भर्स्त राज देश कहिले बिकास नहुने नालायक चोर
0,GENERAL,सच्चा देशभक्त,यस कार्यक्रम हेरे पछि यस देश मा अरु २ जना सच्चा देशभक्त हरु पनि रहेछन् भन्ने कुरा थाहा भयो ।,कार्यक्रम हेरे देश अरु जना सच्चा देशभक्त थाहा
1,GENERAL,रखेल,पद्मा अर्याल को कुरो सुन्दा त्यो पद्मा भन्ने आईमाई बिष्णु पौडेल को रखेल रैछ भन्ने मा कुनै दुईमत रहेन ।,पद्मा अर्याल कुरो सुन्दा पद्मा आईमाई बिष्णु पौडेल रखेल रैछ दुईमत रहेन
1,GENERAL,कम्मर मुनि को भुत्ला,अपराधी डाँका हरु ले स्वर्ग को सपना देखाएर किन राजा फाले का रहेछ्न भन्ने कुरा कम्मर मुनि को भुत्ला देखिने गरि प्रष्ट भयो ।,अपराधी डाँका स्वर्ग सपना देखाएर राजा फाले रहेछ्न कम्मर मुनि भुत्ला प्रष्ट
1,GENERAL,भ्रस्ट,सम्मानित अदालत का न्यायधीश नै भ्रस्ट भए पछि गर्ने के ?,सम्मानित अदालत न्यायधीश भ्रस्ट
0,GENERAL,सुपुत्र,"युबराज कोईराला जस्ता देश का सुपुत्र हरु छन , र त भ्रष्ट नेता , दलाल र भुमाफिया हरु लाई चैन सङ्ग देश लुट्न मिले को छैन नत्र त कहि खाली ठाउ रहने थिएन ।",युबराज कोईराला जस्ता देश सुपुत्र छन भ्रष्ट नेता दलाल भुमाफिया चैन सङ्ग देश लुट्न मिले कहि खाली ठाउ
0,GENERAL,धन्यवाद,धन्यवाद युबराज कोइराला ज्यु ।,धन्यवाद युबराज कोइराला ज्यु
1,GENERAL,लाज लाग्दैन,दुई तिहाइ को सरकार लाई लाज लाग्दैन ?,तिहाइ सरकार लाज लाग्दैन
1,GENERAL,लाज पचे को नालायेक,भन्ने बेला मा राजा को नाम मा भए को सबै सम्पती सरकार को नाम ल्याउनु पर्छ भन्न लाज पचे को नालायेक सरकार ।,बेला राजा नाम सम्पती सरकार नाम ल्याउनु भन्न लाज पचे नालायेक सरकार
0,GENERAL,सपूत,"होइन , हाम्रो देश मा युवराज कोइरालाज्यू जस्ता सपूत पनि रहेछन् , धन्य भएँ आज उहाँ का कुरा सुनेर ।",देश युवराज कोइरालाज्यू जस्ता सपूत धन्य भएँ सुनेर
0,GENERAL,राम्रो सुरूवात,यस्तो बदमासी र जनता को राष्ट्रिय सम्पति लुटिए को कुरा प्रथम चोटी खोजि अनुसन्धान गर्ने बर्तमान सरकार को कदम राम्रो सुरूवात ।,बदमासी जनता राष्ट्रिय सम्पति लुटिए प्रथम चोटी खोजि अनुसन्धान बर्तमान सरकार कदम सुरूवात
1,GENERAL,लुटेरा,यी सबै लुटेरा हुन ।,लुटेरा
1,GENERAL,रौ नै thadoo,वाेले को सुन्दा पनि रौ नै thadoo hinxa ।,वाेले सुन्दा रौ
1,GENERAL,नियती खराब,होइन यो कान्तिपुर ले किन जहिल्यै पनि एकै किसिम का अपराधी हरु मात्र लिएर आउँछ हो राम्रो अतिथी नपाएर हो कि कान्तिपुर को पनि नियती खराब भएर हो ।,कान्तिपुर जहिल्यै किसिम अपराधी लिएर आउँछ अतिथी नपाएर कान्तिपुर नियती खराब भएर
1,GENERAL,साला,यो केशब बडाल भन्दा अरु कुनै चोर छैन नेकपा मा यो साला को त अनुहार हेर्यो कि साइत नै बिग्रन्छ चोर ।,केशब बडाल अरु चोर नेकपा साला अनुहार हेर्यो साइत बिग्रन्छ चोर
0,GENERAL,कुरा ठिक,3 जना माहा पुरुष को कुरा ठिक हो तर मन्त्री ज्यु को कुरा ले प्रष्ट के बुज्न सकिन्छ भने आफ्नो पद र पाटी लाई बचाउदै छिन ।,जना माहा पुरुष ठिक मन्त्री ज्यु प्रष्ट बुज्न सकिन्छ पद पाटी बचाउदै छिन
