Target,Predicted Label,Remarks,Sentences
1,GENERAL,देश ईसाईकरण गर्छ,धर्म सस्कृति सकेर देश ईसाईकरण ने क पा सरकारि जग्गा बचाउन नसकिएकाे अबश्था
1,GENERAL,कति ठुलाे बिटाे मिल्याे,छायाँ सेन्टर जस्ता जाेगाउने प्रपञ्च हाे याे कति ठुलाे बिटाे मिल्याे सचिव ज्यू
1,GENERAL,भु माफिया को हनुमान,गुठी बिदयक बिष्णु पौडेल हात पद् अर्याल भु माफिया हनुमान गद्दार आइमाई कालोमोसो दलेर जुत्ता माला लायर देश निकाला
1,GENERAL,खान नहुने वा रे वा,जनता नाम नेता खान किसानकाे नाम गुठी खान नहुने वा रे वा
1,GENERAL,रजाइ गर्ने,बिरोध हरु नहोलान मुख्यपात्र हरु अहिले त्यही गुठी चल अचल सम्पती माथी रजाइ हरुनै रजाइ नपाइने भो भनेर सडक आयर रोय बुझ्नु
1,GENERAL,नाटक हुन,परिबर्तन बिरोधी हरु परिबर्तन स्युकार्न गार्हो भा सब नाटक
1,GENERAL,नस्तिक र होलि वाइन खाने,जस आखिर नेपाल धर्म सस्कृती परम्परा मौलिक मास्ने अहिले सरकार नस्तिक होलि वाइन खाने हरु
1,GENERAL,समाप्त पार्ने खेल हो,हिन्दुत्व समाप्त पार्ने खेल भान आमनागरिक गुठी काण्ड
1,GENERAL,गै त सक्यो,बाकिनै यहि गुठी अरुत खतम भै सके नदिनाला कलकारखाना धर्म सस्कृती गै सक्यो बा की आस लाग्दो नेपाली सेना गुठी
1,GENERAL,अनपढ,बाहुन च्याउ खाए पो स्वाद गुठि नभए बाहुन लाइ गुठि कर्म मर्म थाहा अनपढ बाहुन लाइ निल्दिन्छ
1,GENERAL,बेच्न लागे,देउता बेच्न लागे बाहुन क्षेत्री
1,GENERAL,भु माफिया को एजेन्ट,दुइ जना बाहुन हरु भु माफिया एजेन्ट हरु
1,GENERAL,लखेटनु प्ररने,नेपाल बाहुन सब लखेटनु प्ररने दिन अायो हिन्दु होस वा बाैद किराँत मासेर किश्नन बनाउने यिनै हुनु देश सब स्रम्पदा मासने बाहुन खोल्ड अोडने
1,GENERAL,कम्मर मुनि को भुत्ला देखायो,भ्रष्टाचार बिरोधि अभियन्ता ज्ञानेन्द्र शाहि माथी राज्य द्वारा बर्बर दमन लोकतन्त्र कम्मर मुनि भुत्ला देखायो
1,GENERAL,अपराधी हरु ले पालेको,नेपाल बिरोधि अपराधी हरु पालेको मिडिया चुइक्क बोलेनन्
1,GENERAL,अपराधी दलाल हरु ले पालेको,कान्तिपुर यस्तै अपराधी दलाल हरु पालेको एउटा मिडिया
0,GENERAL,विद्वान,उपस्थित विद्वान हरु कस कस गुठी
1,GENERAL,सँन्स्कार खतम गर्नु पर्छ,कुनाई जाती समुदाय मास्नु खतम गर्नुछ उस धर्म सँन्स्कार खतम नीति गुठि बिध्यायक नीति
1,GENERAL,भु माफिया को गोटि,सब भु माफिया चाल नेपाल सरकार तिनै भु माफिया गोटि बन्दैछ
1,GENERAL,फिर्ता हुनैपर्छ,विधेक फिर्ता हुनैपर्छ चर्को आन्दोलन
1,GENERAL,दलाल,दलाल नेता सरकार आफै मोहि बनी हदपिने दाउ
1,GENERAL,लाटो देश मा बाठो तन्देरी,याहाँ लाटो देश बाठो तन्देरी भनेजस्तो भो
1,GENERAL,छाउरा,बामे छाउरा हरु देस सक्क्ने भय
1,GENERAL,लगार्ने नियात,काठ्माडो न्यावार जाति लाइ हरुलाइ लगार्ने नियात
1,GENERAL,भ्रष्ट चोर दलाली,भ्रष्ट चोर दलाली हरु मठ मन्दिर गुठी ब्याक्तीगत नाम गरिए सरकार ठोस कदम चालोस
0,GENERAL,ठिक रहेछ,अहिले धर्म बेचे छन चोर हरु सत्ता आयपछी हजार नेपालि टाउको रिण बोकाय पन्चायत ठिक रहेछ
1,GENERAL,चोर भ्रस्टचारी,विधेक चोर भ्रस्टचारी बाहुन छेत्री हरु नेवारी किरात आदिबासी संसृति मास्ने पेल्ने मनसाय
1,GENERAL,दलाल,देश बेच्न उग्र रुप लागे दलाल देश डुबाय
1,GENERAL,not specific in his words,
0,GENERAL,सोझा,सोझा नेवार नियमन राजनीतिक पहुच मान्छे अघि लैए गुठी बिदयक
1,GENERAL,हाेचिविन काे मुत खाने,हाम्रा मठ मन्दिर गुम्बा धर्म सस्कृति धाेस्त पारेर ईनि हाेलिविन हाेचिविन काे मुत खाने हरु ख्रिस्चियन चर्च बनाउन खाेजेकाे नपालि जनता मिलेर देस निकाला
1,GENERAL,दलाल,पाखन्डी भन्डारी क्रिश्चियन दलाल ओलि मुत पिएर होलि वाइन सोझो गर्दैछ नेपाल परम्परा सस्कार सस्कृती मास्ने नियत
1,GENERAL,धर्म मास्ने,सनातन धर्म मास्ने योजना आ विधेक
1,GENERAL,चोरै चोर,तहतब् चोरै चोर
1,GENERAL,"भू-माफिया , तस्कर",समस्या गुठि समस्या सिद्धांन्त खोल ओडे भूमाफिया तस्कर हरू गुठी जग्गा हडपने अनि बैद्यता दिने
1,GENERAL,भ्रष्ट,समस्या समाधान भ्रष्ट राज्य सत्ता सदा अन्त्य हौ
1,GENERAL,टाउके र लाउके,मन्द विष घोलेर खुबाइदैछ विधेयक ल्याएर जनता सजक नहुने टाउके लाउके चुस्ने स्रोत खोज्दैछन्
1,GENERAL,पशु,अधिकारी पशु की मान्छे बालुवाटार जग्गा बेची खायौं अझ गुठी हरु छोड्छौ हरु दलाल थुक्क नलायक पशु
1,GENERAL,गूठी खाने खेल हो,पुस्ता कति होर पुस्ता भदी भयो भनेर गूठी खाने खेल
1,GENERAL,अस्तित्व मेटाउन,नेपाल अस्तित्व मेटाउन गुठी कानुन रामबाण यस्पछी नेपाल तहस नहस पार्न अरु पर्दैन चेतना भय
1,GENERAL,मुनकाे वृयपान,अस्ती मुनकाे वृयपान नेपालीकाे हीत भन्दै अरिङ्गाल हरू अहिले गुठीपनि त्यही भन्दैछन कृश्यन भतुवा हरू
1,GENERAL,हस्तक्षेप गरिरहे का,गूठी हस्तक्षेप गरिरहे छन
1,GENERAL,कलङ्क,बाहुन हु बाहुन क्षेत्री नाम कलङ्क हरुलाइ चरम यातना दिएर मारिदिए
1,GENERAL,धृस्टता,ता भोलि दिन देश सन्कृती बेचबिखन देश द्रोह गरने धृस्टता नगरोस
1,GENERAL,घृणा छ,यिनि हरु प्रती चरम घृणा
0,GENERAL,सम्पन्न भएकाे हाे,गुठि गर्दा अमेरिका बेलायत नबन्दा उपत्यका सम्पन्न भएकाे हाे
1,GENERAL,संचालन गर्न जानेन,गुठि संचालन जानेन
1,GENERAL,क्रिश्चियन एजेन्ट,राज्य आफैं अन्तरास्ट्रिय क्रिश्चियन एजेन्ट बनेर होलिवाइन सम्मेलन कोरिएन क्रिश्चियन बिश्वबिद्धालय क्रिश्चियन धर्म फैलाउन सहयोग गरेबापत भनेर दिय पदवी थाप्छ सयौं क्रिश्चियन धर्मपरिवर्तन लगानी संस्था दर्ता दिन्छ यहि सरकार नेपाल परंरागत धर्म संस्कृति रितिरिवाज जोगाउँछ भन्नू एउ टा बेकुफी मात्रै सम्पुर्ण सनातन धर्मावलम्बी सडक आउनुपर्छ
1,GENERAL,ताई न तुइ,ताई तुइ सधै बहस
1,GENERAL,हडपेकाे छ,बालुवाटार काे जग्गा हडपेकाे गुठि त्यसै छाेड्छन बाहुन हरु याे एउ टा सडयन्त्र हाे
1,GENERAL,मेट्ने कुचेस्टा गरिस को,उठ नेवार दाजुभाइ दिदीबहिनी सस्कृती बचाउन उठ दलाल सरकार काठमाडौं नेवार समुदाय सस्कृती मेट्ने कुचेस्टा गरिस
1,GENERAL,बेच्ने भो,गुथी बिधेयक ल्यायेर देस बेच्ने भो बाहुन हरु हे भगवान बचाउ देश
1,GENERAL,मुला,सत्ता धल्छ नेता मन्त्री साइद लागे काम मुला हरु
1,GENERAL,mc चम्चा,चम्चा हरु
1,GENERAL,नाठो,पद्मा अर्याल प्रश्न बिष्णु पौडेल सम्धी नाठो
1,GENERAL,भ्रष्टाचार,नेपाल सबैभन्दा शक्तिशाली संस्था प्रधानमन्त्री उहाँ कै खल्ली सम्बधित भ्रष्टाचार प्रमाण छानविन लामो लाग्दो रहेछ
1,GENERAL,लाजमर्दो कुरा,कति लाजमर्दो सरकारि जग्गा कति मन्त्रिलाइ थाहै रे खालि बसेर तलब भत्ता खान्छौ लाज मान
1,GENERAL,दलाल,मन्त्री ठुलाे नेता बिस्नु पौडेल भुमाफिया दलाल बिचरा मन्त्री पद होईन राजनीतिक जिवन समाप्त अनि कार्वाहि
1,GENERAL,बेच्न थाले,राजा हुदा देश बिचियो सरकारि जग्गा बिचियो खाते पार्टी नेता अाए सब बेच्न थाले
0,GENERAL,गहन छ,निमेष बन्जाडे ज्यु प्रस्न प्रस्तुति अति गहन
1,GENERAL,भूमाफिया,वर्ष सरकार टिक्ने सरकारी रा गुठी जग्गा सरकार बस्ने हरु नेकापा सरकार भूमाफिया
0,GENERAL,देशभक्त,युवराज कोइराला जस्ता देशभक्त मान्छे नेपाल अनि नेपाली पाए
0,GENERAL,"hats off , सल्युट यु सर",सल्युट यु सर
1,GENERAL,दलाल र भर्स्त,देश दलाल भर्स्त हरु राज भयो देश कहिले बिकास नहुने भयो नालायक चोर हरु
0,GENERAL,सच्चा देशभक्त,कार्यक्रम हेरे देश अरु जना सच्चा देशभक्त हरु रहेछन् थाहा भयो
1,GENERAL,रखेल,पद्मा अर्याल कुरो सुन्दा पद्मा आईमाई बिष्णु पौडेल रखेल रैछ दुईमत रहेन
1,GENERAL,कम्मर मुनि को भुत्ला,अपराधी डाँका हरु स्वर्ग सपना देखाएर राजा फाले रहेछ्न कम्मर मुनि भुत्ला देखिने प्रष्ट भयो
1,GENERAL,भ्रस्ट,सम्मानित अदालत न्यायधीश भ्रस्ट
0,GENERAL,सुपुत्र,युबराज कोईराला जस्ता देश सुपुत्र हरु छन भ्रष्ट नेता दलाल भुमाफिया हरु चैन सङ्ग देश लुट्न मिले कहि खाली ठाउ रहने
0,GENERAL,धन्यवाद,धन्यवाद युबराज कोइराला ज्यु
1,GENERAL,लाज लाग्दैन,तिहाइ सरकार लाज लाग्दैन
1,GENERAL,लाज पचे को नालायेक,बेला राजा नाम सम्पती सरकार नाम ल्याउनु भन्न लाज पचे नालायेक सरकार
0,GENERAL,सपूत,देश युवराज कोइरालाज्यू जस्ता सपूत रहेछन् धन्य भएँ आज उहाँ सुनेर
0,GENERAL,राम्रो सुरूवात,बदमासी जनता राष्ट्रिय सम्पति लुटिए प्रथम चोटी खोजि अनुसन्धान बर्तमान सरकार कदम सुरूवात
1,GENERAL,लुटेरा,लुटेरा
1,GENERAL,रौ नै thadoo,वाेले सुन्दा रौ
1,GENERAL,नियती खराब,कान्तिपुर जहिल्यै एकै किसिम अपराधी हरु लिएर आउँछ अतिथी नपाएर कान्तिपुर नियती खराब भएर
1,GENERAL,साला,केशब बडाल अरु चोर नेकपा साला अनुहार हेर्यो साइत बिग्रन्छ चोर
0,GENERAL,कुरा ठिक,जना माहा पुरुष ठिक मन्त्री ज्यु प्रष्ट बुज्न सकिन्छ पद पाटी बचाउदै छिन
1,GENERAL,हुने थिएन,नेपाल राज्य ऐनकानुन भै सरकारी जमिन ब्याक्ति नाम
1,GENERAL,प्रपन्च,अन्त्य आयोग बहना ढिसमिस प्रपन्च
1,GENERAL,लाजमर्दो,लाजमर्दो मन्त्रि अन्धा धुन्ध भईरा वल्ल सुनिराछ मन्त्रालय उपन्यास पढेर वस्छे क्या
1,GENERAL,जन्तु,केशब बडालभन्ने जन्तु च्यानल नबोलाउनुहोस साचो बोल्दैन मन्त्री अर्याल भु माफिया कै पक्ष छिन यस्ता मन्त्री
1,GENERAL,हे भगवान्,हे भगवान् येस्ता आइमाई मन्त्रालय सम्हालेर बसे छ्न देश सुगा सि पार्टि त्येहि बोले बुद्दि अनुभव धिक्कार नेपाली जनता लाइ येस्ता आइमाई लाइ जिताउने अरु सब गुंगा बहिरा छ्न क्या ठाउँ
0,GENERAL,राम्रोकार्य,सरकार अत्यन्तै राम्रोकार्य लागे
1,GENERAL,बहिस्कार गर्पर्छ,ज्यान बाजि लगाएर अरु खोजेर ल्याए मुदा सरकारलाइ गर्ब बहिस्कार गर्पर्छ
1,GENERAL,जिब्रो चपाएर बोली,स्याग्जा की मंन्त्री जिब्रो चपाएर बोली राकी छे कुरो थाछ
1,GENERAL,अचम्म लाग्यो,नेपाल नेता नेती बोल्ने शैली हेरेर अचम्म लाग्यो
1,GENERAL,गु खाने,छोडि दिऊ भो नेता ज्यु तपाई हरू गु खाने बाट देश हुन्न बिकल्प आई सक्यो बैशाख गते बजे माईतिघर आउनुहोला हेर्न
1,GENERAL,रिप,काङ्ग्रेस यमाले माव रिप
0,GENERAL,गरिन्छ,इ जागिर आयकालाइ समर्थन गरिन्न बिबेकशिलसाझा लाइ गरिन्छ
1,GENERAL,नराम्रो काम गर्न,मन्त्री हरु सम्सद हरु नराम्रो काम जनता दुख दिन नेपाल नेपाली फसाउन खोजे
1,GENERAL,रिस उच्च,हे भगवान पद्मा आर्यल मन्त्री सुन्दा रिस उच्च भोट दियर गल्ती गरे जनता
1,GENERAL,रिस उठछ,केश्ब चोर रिस उठछ
1,GENERAL,भूमाफिया हरू को हनुमान,बडाल मानिस भूमाफिया हरू हनुमान पो रहेछ
1,GENERAL,माकुरि,ओई माकुरि ति तिम्रा शक्तिशाली आयोग हरु कै झोल हली भतुवा राख्छौ अरु सुरेन्द्र केसि पाईलट बिजय लामा अर्जुन सुबेदि हरु जस्ता राख्छौ तिम्रो आयोग तिम्रो भतुवा हरु मात्रै राख्छौ ति आयोग घाम मुतेर सुकाईदीए
1,GENERAL,घाँस,बालुवाटार जाग्गा किन्न हुन्न जग्गा सरकार थाहा नभए कस्तो घाँस घसणी पौडेल
0,GENERAL,राम्रो,हजुर कार्यक्रम पावर बेला सरकारी जमीन देश बेचीसके चोर नेता हरू
1,GENERAL,माते को,केशव बडाल माते चढे केपि कट्टु जस्ता बहस ल्याएर न्यायोचित जवाफ आउला लाग्दैन मलाइ
0,GENERAL,राम्रो व्यक्ति,युबराज कोईराल जस्ता व्यक्ति देश रहेछ
0,GENERAL,सम्मान गर्छु,उहाँ हृदय सम्मान
1,GENERAL,जेल हाल्दिनु पर्छ,चोर जना जेल हाल्दिनु
1,GENERAL,पछि हटे को,हाेइन सरकार स्वयम् हटे संकेत
1,GENERAL,राजिनामा,राजिनामा
1,GENERAL,बाउ को खेलायेर,अचम्म लाग्छ भ्रष्टाचारी हरु सुन्दा रिकार्ड फाइल रे हेन्ड ओभर गर्दा कस् बाउ खेलायेर बसेकाथेउ
1,GENERAL,भ्रष्टाचारी,सरकार भ्रष्टाचारी देश
1,GENERAL,अपराध,चोरी माल सस्तो खरिद गर्नुपनि अपराध ठहरिन्छ त्यसैलै नेता फटाहा चोर
0,GENERAL,थाह पाए को हो,सरकार अाए त्रिताल अायोग गठन भएर बालुवाटार काण्ड थाह पाए
1,GENERAL,बिनाबाउ का केटाकेटी,मान्त्री गाली बिनाबाउ केटाकेटी हरु नकरात्मक कमेन्ट अफैँ थुक्ने काम गरे
1,GENERAL,चिड,नेता भनेसी चिड लागिसकेव यार गल्ती याचना नगर्ने आफ्ना ढाकछोप
1,GENERAL,जेल मा कोचुन,राजै ठिक रैच यार कोहि आउन इनिहरुलाइ जेल कोचुन यार समर्थन गरिन्छ
1,GENERAL,घाँस,घाँस रैछ मन्त्री
1,GENERAL,घास,आईमे थाछैन हौ पद मात्रै बसे घास हरु
0,GENERAL,Big salute,कोइराला साहस्लाइ
1,GENERAL,भ्रष्ट पार्टी,बिष्णु पौडेल महासचिव पद बाट हटाईएन नेकपा नेपाल ठूलो भ्रष्ट पार्टी सन्देश पुग्ने निश्चित
1,GENERAL,घरबार बिगार्ने फटाह,टुड़ीखेल लखेटी लखेटी जुत्ता पिट्नु पर्ने मान्छे केशब बडाल गाउँ टोल समाज घरबार बिगार्ने फटाह आइमाई पद्मा अर्याल
0,GENERAL,धन्यबाद,धन्यबाद निमेस जी समसामायीक बिषय जनता जानकारी गराउनु
0,GENERAL,संमान,नेपाली जनता प्रधानमन्त्री संमान गर्छन
1,GENERAL,साले,रिकॉर्ड फाईल रे लिन्छौ साले पोस्ट जादा कार्यकाल समल्दा
1,GENERAL,घुस लेनदेन,मन्त्री ज्यु घुस लेनदेन मालपोत कार्यलय
1,GENERAL,बिकराल,डिजिटल समस्य झन बिकराल
1,GENERAL,भ्रष्ट हरु कै मतियार,सोम प्रसाद भ्रष्ट हरु कै मतियार प्रष्टै
1,GENERAL,भ्रष्ट,कम्युनिस्ट पार्टी पार्टीगत रुपमै भ्रष्ट
1,GENERAL,भ्रष्ट,सुशासन रहित भ्रष्ट ब्यक्ति हरु सत्ता रहे स्थिरता झनै खतरनाक
1,GENERAL,भाते,यसभन्दा भाते हरु अालोपालो सत्ता थियौ पाजी हरु
1,GENERAL,गैरजिम्मेदार चोर,यस्ता गैरजिम्मेदार चोर टीवी नेपाली जनता नदेखाऊन अनूरोथ
1,GENERAL,पद्च्युत,अहिले सताधारी हरु जति सबैलाइ पद्च्युत नगरी देश बाट भ्रष्टाचार कहिले उन्मुलन हुन्न
1,GENERAL,राष्ट्रघाती र दलाल,याे राष्ट्रघाती दलाल पुजीँवाद जाेगाउने सरकार हाे
1,GENERAL,डाका लुटेरा,डाका लुटेरा हरु स्थिर सरकार अर्थ
1,GENERAL,भ्रस्टाचारि को मतियार,सोम पाण्डे भ्रस्टाचारि मतियार लाग्यो
0,GENERAL,मात्रै य औटा यस्तो पत्रकार,निबेस सर मात्रै य औटा पत्रकार लाग्छ नारायण श्रेष्ठ ठाउँ लिन सक्नुहुन्छ
1,GENERAL,भ्रटचार,आम्दानि श्रोत भ्रटचार
1,GENERAL,गरिव बनिरहे का,जसरी नेता धनाड्य बन्दै त्यसरी कृषक मजदुर हरु कृषि उत्पादन उचित मुल्य नतोकिनु उचित पारिश्रमिक अनियन्त्रित अनुचित मुल्यबृद्दी झन गरिव बनिरहे छन
1,GENERAL,खोले,कम्युनिष्ट खोले नेता खाली पार्टी बचाउ
1,GENERAL,"भ्रस्टचार , दलाली , कमिसन , देस र जनता लुट्ने",नेपाल नेता भ्रस्टचार दलाली कमिसन देस जनता लुट्ने अनी नेता दिन रात चौगुना धनी देस जनता कंगाल गरीब बनाउँछ
1,GENERAL,हटाउनु पर्छ,सोम काम यस्लाइ पार्टी बाट हटाउनु
0,GENERAL,गरेकोे थिएन,राजा तँ भस्त्रचार तँ गरेकोे
1,GENERAL,भ्रष्टाचारी हरु को मतियार,पाण्डे भ्रष्टाचारी हरु मतियार होकि झैँ लाग्यो अन्तरिम सरकार निकाल्ने बितिक् कै कनपारो तात्यो
1,GENERAL,जे बोल्छन त्यो गर्दैनन्,नेता हरु बोल्छन गर्दैनन् बोल्दैनन् गर्छन्
0,GENERAL,धन्यवाद,धन्यवाद कान्तिपुर टेलीभिजन विषय बहस
1,GENERAL,चोर भ्रष्ट घुसखोरी दलाल,सधै हुनुपर्छ देश चोर भ्रष्ट घुसखोरी दलाल हरु ल्याउनु
1,GENERAL,भर्स्त लाई जेगाउने,नेकपा नेता भर्स्त जेगाउने सरकार बचाउने काम गरेकाछन
1,GENERAL,भरशाचारी,शमपती शुद्रीकरन केपी ओली शङग भय मुखय भरशाचारी ओली शिधै बुझिनछन
1,GENERAL,कुत्ता,सोम प्रसात पान्दे कुत्ता बोला जन्ता हित गरदैन
1,GENERAL,लुट्न लाइसन्स पाए का,लुट्न लाइसन्स पाए नेता लाखाै लाख जनता मारेर कमाए धनी भएर त्यहि धन रुवाइँ रहेछ
0,GENERAL,सलाम छ,एनसेल अर्ब तीराउन लागी ठुलो भुमी खेल्ने न्याधीस सुरेन्द्र सर सलाम
1,GENERAL,ढाड भाँच्चिने गरि,राणि वान हरु ढाड भाँच्चिने कर लादे
1,GENERAL,तस्कर संग मिलेमतो,तस्कर संग मिलेमतो आत्मनिर्भर उत्पादन क्षेत्र शून्य
1,GENERAL,झोलेझाम्टे,नहोस नेता तिन झोलेझाम्टे धनी
1,GENERAL,भ्रष्टाचारि,कार्यक्रम आउनी सानो ठुलो नेता हरु भ्रष्टाचारि काराबाही सुनिन्छ
1,GENERAL,भर्स्टाचार हुने मुलुक,जरा गाडे मुला रुख बनिस ल्याङ्ग गरे यार बिस्व् नम्बर भर्स्टाचार मुलुक बित्तिकै थाहा पाउन त्
1,GENERAL,दिमाग नै छैन,सोमे दिमाग रैछ येस्तो मान्छे बोला
0,GENERAL,बनाउछ,देश बनाए एहि सरकार बनाउछ अरु खोज्न थाल्यो देअ बर्श जान्छ
1,GENERAL,जुत्ता को माला लगाएर,सोम खाते दलाल जहा भेट्यो तेही कालो मोसो दलेर जुत्ता माला लगाएर सहर घुमाउनु यस्ता दलाल ल्याएर जनता यस्ता नरपशु अनुहार नदेखाउनु
1,GENERAL,दलाल,सोम प्रसाद पाण्डे नम्बर दलाल यस्ता मिडिया नबोलाउनु कार्यक्रम विषय आर्को तिरा मोडिन्छ
1,GENERAL,चोर लुटेरा खाते,सत्ताधारी कथित कम्युनिष्ट चोर लुटेरा खाते हरु रति लाज लाग्दो रहेनछ
1,GENERAL,देशै स्वाहा पार्छन,यीनी हरु जस्ता नकचरा हरु सरकार बर्ष टिक्यो देशै स्वाहा पार्छन बेचेर बिदेश भासिन्छन यीनी हरु
0,GENERAL,भाश्रण राम्रो छ,भ्रस्टचारी लाइ उल्मुल पर्ने सुरेन्द्र भण्डारी ज्यु दम तरिका बाट जानु भ्रस्टचार खानि कम्निस्ट भाश्रण सासन
0,GENERAL,शिह,सरकार अदालत प्रहरी सेना अखितियार सरकार निकाय हरु घुन मुशा देश खोकरो बनायर खाईसकयो जनता शिह बनेर यि मुशा हरु दुला खोदी खोदी मारछन
1,GENERAL,भ्रस्टाचारि को मतियार्,सोम् पान्डे औकात् एउटा भ्रस्टाचारि मतियार् बाहेक् अरु छैन्
1,GENERAL,राम्रो अथिती ल्याउदैन,कान्तिपुर कहिलै अथिती ल्याउदैन
1,GENERAL,भष्ट,सवै भष्ट कानून बनायेर फासि दिनु
0,GENERAL,राम्रो लाग्यो,बिचार लाग्यो सुरन्द्र भण्डारी ज्यु अघि बढनु जनता अबस्य मिल्नेछ
1,GENERAL,चुतिया,खाउ चुतिया नेपालि रगत खाएर जु मोटाअो
1,GENERAL,जुन जोगि अाए पनि कानै चिरे को,जोगि अाए कानै चिरे
1,GENERAL,झोले कुकुर,हरू गोली ठोक्नु अनि बल्ल देस मुहार फेर्छ झोले कुकुर कार्यकर्ता सिस्नु पानी लायर लखेटनुपर्छ
1,GENERAL,भ्रस्टाचारी,भ्रस्टाचारी कारवाही गर काग्रेस होकि कम्निस्ट नेता होकि कार्यकर्ता वा कोहि
1,GENERAL,अजिङ्गर,बिदेश दाजुभाइ दिदिबहिनी हरु समेट्नु अनि देश बेचिसकेउ अजिङ्गर हरु
0,GENERAL,साही लगियो,साही लगियो चै चोर
0,GENERAL,सहि भन्नू भो,सुरेन्द्र भन्दारि सहि भन्नू भो साला रारिका बान चोर नेता हरुलाइ तुधीखेल लगेर गोलि थोग्नुपर्छ
1,GENERAL,मुला,मुला सोम पाणे पानी वोभानो बन्छ अनि काङ्ग्रेस फ्यारो उस्तै
1,GENERAL,तै चुप मैचुप,हिजो सत्तापक्ष आज दुबै जना तै चुप मैचुप लागेयो
1,GENERAL,बर्वाद पार्ने भो,इनि हरु मिलिभगत कैले नेपाल बर्वाद पार्ने भो
1,GENERAL,खाल्डा मा जाओस्,अनि पुरानो सम्रचना कर्मचारी हरु जरै फाकेर योग्य कर्मचारी शिक्षक हर ठाउँ हुनुर्ुपर्छ अनि रोकिएला देश खाल्डा जाओस्
1,GENERAL,थुक्क,थुक्क सोम खाते जस अनुहार नहेरौ त्यस ल्याएछ खाली सरकार बचाउ
1,GENERAL,भ्रष्ट,खरदार सुब्बा समात्ने भ्रष्ट नेता हरु संरक्षण त्यस्तो पार्टी कार्यकर्ता भर्ति अक्तियार खारिज
1,GENERAL,पैसा ले संसद बन्नु भए को,पहुना राम्रा सोम प्रसाद पाण्डे पैसा संसद बन्नु भाग चाहिँ ल्याउनु हुन्न आशा गर्दछु
1,GENERAL,पारो तात्तेर आउछ,सोम पान्डे बोल्यो की पारो तात्तेर आउछ
